Teams,Arizona,Atlanta,Baltimore,Boston Red Sox,Chicago Cubs,Chicago White Sox,Cincinnati reds,Cleveland Indians,Colorado,Detriot,Houston,Kansas,Angels,Dodgers,Marlins,Brewers,Twins,Mets ,Yankees ,Athletics,Phillies ,Pirates,Padres,Giants,Mariners,Cardinals,Rays,Rangers,BlueJays,Nationals
Arizona Diamondbacks,-162,7,0,0,6,0,6,0,18,0,9,3,3,18,8,7,0,7,0,3,6,7,18,18,3,6,0,3,0,6
Atlanta Braves,7,-162,3,6,6,0,9,0,8,0,6,0,0,7,18,6,0,18,3,0,18,7,6,7,0,6,0,0,3,18
Baltimore Orioles,0,3,-162,18,0,9,0,7,0,8,0,8,10,0,3,0,5,3,18,6,3,0,0,0,9,0,18,10,18,6
Boston Red Sox,0,6,18,-162,0,8,0,9,0,7,0,8,9,0,3,0,6,3,18,10,3,0,0,0,6,0,18,9,18,3
Chicago Cubs,6,6,0,0,-162,6,15,3,6,3,17,0,0,8,7,17,3,6,0,0,6,14,9,6,0,16,0,0,0,7
Chicago White Sox,0,0,9,8,6,-162,3,18,0,18,0,18,9,3,0,3,18,0,7,9,0,3,0,0,9,0,8,6,7,0
Cincinnati Reds,6,9,0,0,15,3,-162,6,7,0,16,3,0,6,6,15,0,6,0,0,7,18,7,6,0,16,0,0,3,7
Cleveland Indians,0,0,7,9,3,18,6,-162,0,18,0,18,6,0,0,3,18,0,8,7,0,3,0,0,10,3,8,9,8,0
Colorado Rockies,18,8,0,0,6,0,7,0,-162,3,7,0,3,18,6,6,0,7,0,3,6,9,18,18,3,7,3,0,0,6
Detroit Tigers,0,0,8,7,3,18,0,18,3,-162,3,18,9,0,0,3,19,0,6,9,0,3,0,0,9,3,7,9,8,0
Houston Astros,9,6,0,0,17,0,16,0,7,3,-162,3,0,7,7,15,3,6,0,0,8,15,7,6,0,15,0,6,0,6
Kansas City Royals,3,0,8,8,0,18,3,18,0,18,3,-162,10,0,0,0,18,0,6,8,0,3,0,0,9,6,10,6,7,0
Los Angeles Angels,3,0,10,9,0,9,0,6,3,9,0,10,-162,6,0,0,10,0,10,19,0,0,3,3,19,0,6,19,8,0
Los Angeles Dodgers,18,7,0,0,8,3,6,0,18,0,7,0,6,-162,6,6,0,6,0,3,7,7,18,18,3,7,0,3,0,5
Miami Marlins,8,18,3,3,7,0,6,0,6,0,7,0,0,6,-162,7,0,18,3,0,18,6,6,7,0,6,6,0,3,18
Milwaukee Brewers,7,6,0,0,17,3,15,3,6,3,15,0,0,6,7,-162,6,6,0,0,7,14,6,9,0,18,0,0,0,8
Minnesota Twins,0,0,5,6,3,18,0,18,0,19,3,18,10,0,0,6,-162,0,7,10,0,3,0,0,10,3,6,10,8,0
New York Mets,7,18,3,3,6,0,6,0,7,0,6,0,0,6,18,6,0,-162,6,0,18,7,7,8,0,9,3,0,0,18
New York Yankees,0,3,18,18,0,7,0,8,0,6,0,6,10,0,3,0,7,6,-162,9,3,0,0,0,10,0,18,9,18,3
Oakland Athletics,3,0,6,10,0,9,0,7,3,9,0,8,19,3,0,0,10,0,9,-162,0,0,3,6,19,0,10,19,9,0
Philadelphia Phillies,6,18,3,3,6,0,7,0,6,0,8,0,0,7,18,7,0,18,3,0,-162,6,7,7,0,5,3,0,6,18
Pittsburgh Pirates,7,7,0,0,14,3,18,3,9,3,15,3,0,7,6,14,3,7,0,0,6,-162,7,6,0,15,0,0,0,8
San Diego Padres,18,6,0,0,9,0,7,0,18,0,7,0,3,18,6,6,0,7,0,3,7,7,-162,18,6,7,0,3,0,6
San Francisco Giants,18,7,0,0,6,0,6,0,18,0,6,0,3,18,7,9,0,8,0,6,7,6,18,-162,3,7,0,3,0,6
Seattle Mariners,3,0,9,6,0,9,0,10,3,9,0,9,19,3,0,0,10,0,10,19,0,0,6,3,-162,0,8,19,7,0
St. Louis Cardinals,6,6,0,0,16,0,16,3,7,3,15,6,0,7,6,18,3,9,0,0,5,15,7,7,0,-162,0,0,0,7
Tampa Bay Rays,0,0,18,18,0,8,0,8,3,7,0,10,6,0,6,0,6,3,18,10,3,0,0,0,8,0,-162,9,18,3
Texas Rangers,3,0,10,9,0,6,0,9,0,9,6,6,19,3,0,0,10,0,9,19,0,0,3,3,19,0,9,-162,10,0
Toronto Blue Jays,0,3,18,18,0,7,3,8,0,8,0,7,8,0,3,0,8,0,18,9,6,0,0,0,7,0,18,10,-162,3
Washington Nationals,6,18,6,3,7,0,7,0,6,0,6,0,0,5,18,8,0,18,3,0,18,8,6,6,0,7,3,0,3,-162
