Teams,Arizona,Atlanta,Baltimore,Boston Red Sox,Chicago Cubs,Chicago White Sox,Cincinnati reds,Cleveland Indians,Colorado,Detriot,Houston,Kansas,Angels,Dodgers,Marlins,Brewers,Twins,Mets ,Yankees ,Athletics,Phillies ,Pirates,Padres,Giants,Mariners,Cardinals,Rays,Rangers,BlueJays,Nationals
Arizona Diamondbacks,-162,5,0,0,7,3,6,3,18,3,7,3,0,18,7,7,3,6,0,3,6,6,18,18,0,7,0,0,0,8
Atlanta Braves,5,-162,3,0,7,0,6,0,8,0,6,0,3,7,18,8,0,18,0,0,18,6,9,7,3,6,0,3,3,18
Baltimore Orioles,0,3,-162,18,0,8,3,7,0,10,0,9,9,0,0,0,8,0,18,9,0,3,0,0,6,3,18,6,18,6
Boston Red Sox,0,0,18,-162,3,6,0,10,0,6,3,8,8,0,0,3,7,0,18,8,3,3,3,0,9,0,18,10,18,0
Chicago Cubs,7,7,0,3,-162,6,18,0,6,0,15,3,0,6,6,16,0,6,3,0,7,16,6,9,0,15,0,0,0,7
Chicago White Sox,3,0,8,6,6,-162,0,18,3,18,0,18,8,3,0,0,18,0,8,10,0,0,0,0,9,0,8,8,7,3
Cincinnati Reds,6,6,3,0,18,0,-162,6,7,0,15,0,0,6,6,16,0,7,3,0,8,15,6,7,0,15,3,0,3,6
Cleveland Indians,3,0,7,10,0,18,6,-162,3,18,0,18,9,0,0,0,18,0,7,7,0,3,0,3,9,0,6,10,7,0
Colorado Rockies,18,8,0,0,6,3,7,3,-162,3,7,3,0,18,6,9,0,7,3,0,5,7,18,18,0,6,0,0,0,7
Detroit Tigers,3,0,10,6,0,18,0,18,3,-162,0,18,7,3,0,0,18,3,7,10,0,3,0,3,10,0,7,9,6,0
Houston Astros,7,6,0,3,15,0,15,0,7,0,-162,0,0,9,7,15,0,6,0,0,6,18,8,7,0,15,3,6,3,6
Kansas City Royals,3,0,9,8,3,18,0,18,3,18,0,-162,10,0,0,0,18,0,6,9,0,0,3,0,8,6,7,8,7,0
Los Angeles Angels,0,3,9,8,0,8,0,9,0,7,0,10,-162,6,3,0,9,3,9,19,0,0,0,0,19,0,8,19,10,3
Los Angeles Dodgers,18,7,0,0,6,3,6,0,18,3,9,0,6,-162,6,6,3,7,0,0,6,8,18,18,0,7,0,0,0,6
Miami Marlins,7,18,0,0,6,0,6,0,6,0,7,0,3,6,-162,7,0,18,0,3,18,6,7,6,3,8,6,3,0,18
Milwaukee Brewers,7,8,0,3,16,0,16,0,9,0,15,0,0,6,7,-162,6,6,3,0,7,15,5,6,0,18,3,0,0,6
Minnesota Twins,3,0,8,7,0,18,0,18,0,18,0,18,9,3,0,6,-162,0,8,8,0,0,3,3,8,0,10,8,6,0
New York Mets,6,18,0,0,6,0,7,0,7,3,6,0,3,7,18,6,0,-162,6,3,18,8,7,6,0,6,0,3,0,18
New York Yankees,0,0,18,18,3,8,3,7,3,7,0,6,9,0,0,3,8,6,-162,9,0,0,0,0,9,0,18,9,18,0
Oakland Athletics,3,0,9,8,0,10,0,7,0,10,0,9,19,0,3,0,8,3,9,-162,3,0,0,6,19,0,7,19,10,0
Philadelphia Phillies,6,18,0,3,7,0,8,0,5,0,6,0,0,6,18,7,0,18,0,3,-162,6,8,7,3,9,0,3,3,18
Pittsburgh Pirates,6,6,3,3,16,0,15,3,7,3,18,0,0,8,6,15,0,8,0,0,6,-162,6,6,0,16,0,0,3,8
San Diego Padres,18,9,0,3,6,0,6,0,18,0,8,3,0,18,7,5,3,7,0,0,8,6,-162,18,6,6,0,0,0,7
San Francisco Giants,18,7,0,0,9,0,7,3,18,3,7,0,0,18,6,6,3,6,0,6,7,6,18,-162,0,7,0,0,0,7
Seattle Mariners,0,3,6,9,0,9,0,9,0,10,0,8,19,0,3,0,8,0,9,19,3,0,6,0,-162,0,10,19,9,3
St. Louis Cardinals,7,6,3,0,15,0,15,0,6,0,15,6,0,7,8,18,0,6,0,0,9,16,6,7,0,-162,3,0,3,6
Tampa Bay Rays,0,0,18,18,0,8,3,6,0,7,3,7,8,0,6,3,10,0,18,7,0,0,0,0,10,3,-162,9,18,0
Texas Rangers,0,3,6,10,0,8,0,10,0,9,6,8,19,0,3,0,8,3,9,19,3,0,0,0,19,0,9,-162,10,0
Toronto Blue Jays,0,3,18,18,0,7,3,7,0,6,3,7,10,0,0,0,6,0,18,10,3,3,0,0,9,3,18,10,-162,0
Washington Nationals,8,18,6,0,7,3,6,0,7,0,6,0,3,6,18,6,0,18,0,0,18,8,7,7,3,6,0,0,0,-162
