Teams,Arizona,Atlanta,Baltimore,Boston Red Sox,Chicago Cubs,Chicago White Sox,Cincinnati reds,Cleveland Indians,Colorado,Detriot,Houston,Kansas,Angels,Dodgers,Marlins,Brewers,Twins,Mets ,Yankees ,Athletics,Phillies ,Pirates,Padres,Giants,Mariners,Cardinals,Rays,Rangers,BlueJays,Nationals
Arizona Diamondbacks,-162,7,0,3,7,0,7,0,18,3,7,0,0,18,6,7,0,6,3,0,6,6,18,18,0,9,3,0,3,7
Atlanta Braves,7,-162,0,0,6,3,5,0,6,3,6,3,0,8,18,7,3,18,0,0,18,9,6,7,0,8,3,0,0,18
Baltimore Orioles,0,0,-162,18,0,7,0,6,0,10,0,6,6,0,3,0,8,3,18,10,0,0,3,3,9,0,18,10,18,6
Boston Red Sox,3,0,18,-162,0,7,0,8,3,6,0,7,10,3,0,0,5,0,18,9,6,0,0,3,10,0,18,10,18,0
Chicago Cubs,7,6,0,0,-162,6,16,0,5,0,18,0,3,7,6,15,0,7,0,3,6,15,8,7,3,15,0,3,0,6
Chicago White Sox,0,3,7,7,6,-162,0,18,0,18,0,18,9,0,3,0,18,0,6,9,0,3,0,0,10,0,7,9,8,3
Cincinnati Reds,7,5,0,0,16,0,-162,6,7,0,15,3,0,9,7,14,0,6,0,3,7,16,6,7,3,18,0,0,0,7
Cleveland Indians,0,0,6,8,0,18,6,-162,0,18,0,18,9,0,0,0,18,3,8,9,3,3,0,0,7,0,9,6,10,3
Colorado Rockies,18,6,0,3,5,0,7,0,-162,0,6,3,3,18,7,9,3,6,0,0,7,7,18,18,0,7,0,0,3,8
Detroit Tigers,3,3,10,6,0,18,0,18,0,-162,0,18,10,3,0,0,18,3,8,6,0,3,0,0,8,0,7,9,8,3
Houston Astros,7,6,0,0,18,0,15,0,6,0,-162,3,0,6,6,15,0,7,3,0,7,15,7,9,0,15,3,6,0,8
Kansas City Royals,0,3,6,7,0,18,3,18,3,18,3,-162,10,0,0,0,18,0,8,9,0,0,0,0,9,3,8,9,6,3
Los Angeles Angels,0,0,6,10,3,9,0,9,3,10,0,10,-162,6,0,3,7,0,8,19,0,0,0,0,19,3,9,19,9,0
Los Angeles Dodgers,18,8,0,3,7,0,9,0,18,3,6,0,6,-162,6,6,0,7,3,0,6,7,18,18,0,7,0,0,0,6
Miami Marlins,6,18,3,0,6,3,7,0,7,0,6,0,0,6,-162,8,0,18,0,0,18,8,9,7,0,5,6,3,0,18
Milwaukee Brewers,7,7,0,0,15,0,14,0,9,0,15,0,3,6,8,-162,6,7,0,0,6,18,7,7,3,15,0,3,0,6
Minnesota Twins,0,3,8,5,0,18,0,18,3,18,0,18,7,0,0,6,-162,3,6,9,3,0,0,0,10,0,8,10,9,0
New York Mets,6,18,3,0,7,0,6,3,6,3,7,0,0,7,18,7,3,-162,6,0,18,7,6,7,0,6,0,0,0,18
New York Yankees,3,0,18,18,0,6,0,8,0,8,3,8,8,3,0,0,6,6,-162,10,3,0,0,0,10,0,18,8,18,0
Oakland Athletics,0,0,10,9,3,9,3,9,0,6,0,9,19,0,0,0,9,0,10,-162,0,3,0,6,19,3,9,19,7,0
Philadelphia Phillies,6,18,0,6,6,0,7,3,7,0,7,0,0,6,18,6,3,18,3,0,-162,6,7,6,0,8,0,0,3,18
Pittsburgh Pirates,6,9,0,0,15,3,16,3,7,3,15,0,0,7,8,18,0,7,0,3,6,-162,6,6,0,15,0,3,0,6
San Diego Padres,18,6,3,0,8,0,6,0,18,0,7,0,0,18,9,7,0,6,0,0,7,6,-162,18,6,7,3,0,3,6
San Francisco Giants,18,7,3,3,7,0,7,0,18,0,9,0,0,18,7,7,0,7,0,6,6,6,18,-162,0,6,0,0,3,6
Seattle Mariners,0,0,9,10,3,10,3,7,0,8,0,9,19,0,0,3,10,0,10,19,0,0,6,0,-162,3,9,19,5,0
St. Louis Cardinals,9,8,0,0,15,0,18,0,7,0,15,3,3,7,5,15,0,6,0,3,8,15,7,6,3,-162,0,0,3,6
Tampa Bay Rays,3,3,18,18,0,7,0,9,0,7,3,8,9,0,6,0,8,0,18,9,0,0,3,0,9,0,-162,6,18,0
Texas Rangers,0,0,10,10,3,9,0,6,0,9,6,9,19,0,3,3,10,0,8,19,0,3,0,0,19,0,6,-162,10,0
Toronto Blue Jays,3,0,18,18,0,8,0,10,3,8,0,6,9,0,0,0,9,0,18,7,3,0,3,3,5,3,18,10,-162,0
Washington Nationals,7,18,6,0,6,3,7,3,8,3,8,3,0,6,18,6,0,18,0,0,18,6,6,6,0,6,0,0,0,-162
