Teams,Arizona,Atlanta,Baltimore,Boston Red Sox,Chicago Cubs,Chicago White Sox,Cincinnati reds,Cleveland Indians,Colorado,Detriot,Houston,Kansas,Angels,Dodgers,Marlins,Brewers,Twins,Mets ,Yankees ,Athletics,Phillies ,Pirates,Padres,Giants,Mariners,Cardinals,Rays,Rangers,BlueJays,Nationals
Arizona Diamondbacks,-162,7,0,0,9,0,7,0,18,0,6,3,3,18,8,6,0,7,0,3,6,7,18,18,3,6,0,3,0,6
Atlanta Braves,7,-162,3,3,7,0,6,0,7,0,6,0,0,6,18,6,0,18,6,0,18,7,7,7,0,6,3,0,3,18
Baltimore Orioles,0,3,-162,18,0,8,0,8,0,6,0,9,9,0,0,0,7,3,18,9,3,3,0,0,9,0,18,7,18,6
Boston Red Sox,0,3,18,-162,3,8,0,8,0,10,0,7,6,0,6,0,7,0,18,9,3,0,0,0,9,0,18,8,18,3
Chicago Cubs,9,7,0,3,-162,6,16,0,6,3,15,0,0,6,6,17,3,6,0,0,6,16,6,7,0,17,0,0,0,7
Chicago White Sox,0,0,8,8,6,-162,0,18,0,18,3,18,8,3,0,3,18,0,7,6,0,0,0,0,9,3,7,9,10,0
Cincinnati Reds,7,6,0,0,16,0,-162,6,6,3,15,0,0,6,6,15,3,8,3,0,7,18,8,7,0,15,0,0,0,7
Cleveland Indians,0,0,8,8,0,18,6,-162,0,18,3,18,9,0,3,0,18,0,6,10,0,3,0,0,8,3,8,9,6,0
Colorado Rockies,18,7,0,0,6,0,6,0,-162,3,7,0,3,18,7,6,0,7,0,3,9,6,18,18,3,7,0,3,0,7
Detroit Tigers,0,0,6,10,3,18,3,18,3,-162,0,18,10,0,0,0,18,0,10,7,0,6,0,0,6,3,7,10,6,0
Houston Astros,6,6,0,0,15,3,15,3,7,0,-162,3,0,6,6,17,0,6,0,0,6,17,8,9,0,15,0,6,0,8
Kansas City Royals,3,0,9,7,0,18,0,18,0,18,3,-162,9,0,0,3,18,0,7,9,0,3,0,0,8,6,6,9,8,0
Los Angeles Angels,3,0,9,6,0,8,0,9,3,10,0,9,-162,6,0,0,9,0,9,19,0,0,3,3,19,0,10,19,8,0
Los Angeles Dodgers,18,6,0,0,6,3,6,0,18,0,6,0,6,-162,6,7,0,7,0,3,7,7,18,18,3,11,0,0,0,6
Miami Marlins,8,18,0,6,6,0,6,3,7,0,6,0,0,6,-162,8,0,18,0,0,18,5,6,7,0,7,6,0,3,18
Milwaukee Brewers,6,6,0,0,17,3,15,0,6,0,17,3,0,7,8,-162,6,5,0,0,7,15,9,6,0,15,0,0,3,8
Minnesota Twins,0,0,7,7,3,18,3,18,0,18,0,18,9,0,0,6,-162,0,7,9,3,3,0,0,10,0,6,10,7,0
New York Mets,7,18,3,0,6,0,8,0,7,0,6,0,0,7,18,5,0,-162,6,0,18,7,7,8,0,7,3,0,3,18
New York Yankees,0,6,18,18,0,7,3,6,0,10,0,7,9,0,0,0,7,6,-162,10,0,0,0,0,9,0,18,7,18,3
Oakland Athletics,3,0,9,9,0,6,0,10,3,7,0,9,19,3,0,0,9,0,10,-162,0,0,3,6,19,0,9,19,9,0
Philadelphia Phillies,6,18,3,3,6,0,7,0,9,0,6,0,0,7,18,7,3,18,0,0,-162,7,7,6,0,7,3,0,3,18
Pittsburgh Pirates,7,7,3,0,16,0,18,3,6,6,17,3,0,7,5,15,3,7,0,0,7,-162,6,6,0,15,0,0,0,5
San Diego Padres,18,7,0,0,6,0,8,0,18,0,8,0,3,18,6,9,0,7,0,3,7,6,-162,18,6,6,0,3,0,5
San Francisco Giants,18,7,0,0,7,0,7,0,18,0,9,0,3,18,7,6,0,8,0,6,6,6,18,-162,3,6,0,3,0,6
Seattle Mariners,3,0,9,9,0,9,0,8,3,6,0,8,19,3,0,0,10,0,9,19,0,0,6,3,-162,0,10,19,9,0
St. Louis Cardinals,6,6,0,0,17,3,15,3,7,3,15,6,0,11,7,15,0,7,0,0,7,15,6,6,0,-162,0,0,0,7
Tampa Bay Rays,0,3,18,18,0,7,0,8,0,7,0,6,10,0,6,0,6,3,18,9,3,0,0,0,10,0,-162,9,18,3
Texas Rangers,3,0,7,8,0,9,0,9,3,10,6,9,19,0,0,0,10,0,7,19,0,0,3,3,19,0,9,-162,9,0
Toronto Blue Jays,0,3,18,18,0,10,0,6,0,6,0,8,8,0,3,3,7,3,18,9,3,0,0,0,9,0,18,9,-162,3
Washington Nationals,6,18,6,3,7,0,7,0,7,0,8,0,0,6,18,8,0,18,3,0,18,5,5,6,0,7,3,0,3,-162
